1617_4.csv
all of req: 966917
write ratio: 0.3249
write avg size(KB): 22.68
read avg size(KB): 10.79
write
3, 2022
40, 2246
5, 1336
8, 219210
2, 1716
96, 715
29, 243
4, 1739
1, 12588
6, 1924
7, 1282
48, 953
32, 8341
24, 7359
256, 7174
30, 150
80, 392
16, 20897
46, 208
17, 77
9, 545
64, 7322
129, 127
42, 242
22, 82
168, 101
100, 14
47, 82
20, 87
52, 23
10, 274
240, 166
128, 4938
19, 70
21, 94
120, 241
192, 140
144, 165
112, 288
98, 5
36, 36
224, 126
152, 166
220, 2
154, 7
39, 41
15, 80
59, 33
56, 687
104, 239
160, 364
88, 242
26, 109
136, 248
23, 117
45, 400
79, 18
14, 105
187, 22
108, 5
44, 162
193, 14
37, 101
38, 83
57, 142
236, 1
87, 29
94, 6
71, 22
12, 162
13, 96
78, 35
72, 547
124, 68
53, 33
69, 93
27, 283
211, 3
58, 43
33, 128
34, 77
49, 209
213, 5
54, 32
103, 14
35, 39
131, 10
43, 178
63, 26
28, 179
50, 36
125, 101
11, 180
115, 7
242, 4
232, 135
184, 164
60, 44
126, 34
91, 12
166, 4
84, 2
90, 7
51, 34
41, 59
55, 37
25, 43
97, 13
82, 5
123, 11
117, 7
68, 21
200, 140
176, 132
18, 54
208, 99
216, 125
194, 3
214, 8
235, 3
83, 6
31, 50
181, 2
75, 12
237, 3
157, 13
99, 21
183, 10
164, 4
248, 138
245, 2
61, 158
150, 12
67, 21
174, 2
65, 25
167, 13
107, 8
92, 13
89, 13
212, 4
66, 10
106, 9
199, 5
139, 10
173, 3
226, 4
228, 2
122, 7
62, 10
198, 16
238, 7
243, 5
241, 4
95, 15
119, 12
76, 14
155, 2
105, 10
116, 6
179, 11
86, 13
141, 2
191, 7
205, 1
180, 3
140, 4
101, 12
73, 16
77, 17
185, 6
165, 6
225, 9
182, 4
231, 12
93, 13
153, 3
215, 9
239, 8
137, 5
207, 8
161, 11
178, 3
201, 9
233, 5
127, 7
210, 5
143, 7
162, 3
102, 9
146, 3
113, 7
254, 1
132, 2
234, 3
70, 10
204, 12
85, 4
255, 9
247, 10
142, 5
111, 10
246, 8
121, 6
158, 3
177, 6
118, 5
74, 2
253, 3
251, 1
138, 4
223, 6
114, 10
110, 2
219, 2
145, 4
189, 4
134, 2
202, 6
159, 8
81, 11
175, 6
169, 8
147, 3
196, 1
206, 2
227, 1
244, 1
197, 1
221, 1
148, 5
218, 7
222, 1
151, 5
190, 2
109, 8
195, 1
163, 1
170, 1
149, 2
217, 6
250, 2
130, 3
133, 3
171, 2
186, 2
135, 5
249, 3
252, 1
209, 1
read
32, 24541
16, 43808
24, 22548
128, 18078
8, 286304
216, 871
64, 126883
40, 8138
56, 6861
104, 2351
72, 3831
88, 3837
1, 8402
112, 2328
144, 1760
2, 6921
400, 2666
17, 454
160, 2488
10, 378
20, 346
15, 1628
48, 7132
4, 1512
7, 926
3, 2296
5, 1099
6, 1071
80, 3689
58, 186
28, 244
248, 896
256, 21994
152, 1382
31, 293
96, 4502
12, 295
26, 264
63, 198
192, 1700
11, 290
22, 418
21, 511
61, 158
23, 300
120, 2067
224, 1473
184, 1101
30, 218
176, 1294
136, 1805
200, 1030
137, 21
94, 86
86, 92
107, 43
135, 35
115, 31
162, 26
140, 21
148, 23
43, 93
134, 51
167, 15
149, 27
74, 90
130, 43
59, 159
158, 63
116, 47
166, 30
62, 186
159, 28
146, 63
164, 10
46, 154
145, 28
76, 51
232, 837
27, 233
29, 227
25, 273
34, 182
13, 303
19, 644
14, 292
50, 136
18, 617
9, 424
52, 70
73, 48
240, 1794
206, 28
41, 130
168, 1390
60, 136
57, 146
38, 176
208, 949
33, 184
226, 17
54, 136
70, 102
35, 114
81, 43
42, 139
45, 114
119, 43
47, 123
36, 119
79, 66
69, 51
71, 60
126, 81
114, 69
82, 89
39, 173
84, 73
77, 47
151, 21
108, 44
155, 24
49, 126
215, 19
236, 14
78, 124
196, 28
230, 44
44, 136
37, 101
156, 16
53, 87
110, 85
67, 87
171, 22
65, 69
93, 36
87, 49
133, 27
210, 36
147, 16
131, 21
150, 44
98, 96
118, 85
102, 91
154, 48
122, 74
111, 41
103, 49
124, 33
100, 48
250, 23
123, 29
66, 83
92, 37
189, 26
197, 15
90, 74
214, 31
180, 12
182, 28
91, 41
222, 22
138, 50
170, 39
178, 47
242, 32
173, 25
234, 35
113, 42
181, 23
231, 10
213, 17
172, 18
121, 54
254, 20
101, 45
129, 19
55, 106
125, 35
247, 13
194, 34
233, 6
89, 48
174, 40
142, 48
186, 32
75, 36
97, 58
117, 34
68, 49
127, 46
163, 24
241, 17
51, 83
85, 63
219, 12
83, 51
195, 9
99, 34
161, 27
179, 17
105, 47
183, 28
109, 43
238, 30
141, 21
218, 19
169, 21
153, 23
191, 14
132, 23
243, 8
225, 14
106, 74
177, 17
139, 25
198, 40
229, 7
202, 25
95, 58
221, 9
157, 9
246, 15
204, 11
217, 13
199, 12
252, 11
143, 18
205, 13
187, 13
212, 9
193, 17
207, 23
201, 16
175, 15
203, 11
165, 12
220, 11
188, 12
211, 12
251, 10
228, 6
253, 5
235, 15
249, 10
239, 11
209, 15
227, 5
244, 9
223, 17
190, 30
237, 6
185, 15
245, 8
255, 4
